,Scenarios,Deterministic equivalent,Surrogate_0,Surrogate_1,Surrogate_2,Surrogate_3,Surrogate_4
0,5.0,173.74,0.35,7.64,102.49,10800.0,10800.0
1,10.0,484.32,0.4,1.18,99.94,10800.0,10800.0
2,15.0,713.17,1.99,10.48,182.86,10800.0,10800.0
3,20.0,940.72,1.17,4.88,153.46,10800.0,10800.0
4,50.0,3010.15,1.78,6.6,163.77,10800.0,10800.0
5,20.0,940.72,1.17,4.88,153.46,10800.0,10800.0
6,20.0,940.72,1.17,4.88,153.46,10800.0,10800.0
7,50.0,3010.15,1.78,6.6,163.77,10800.0,10800.0
8,50.0,3010.15,1.78,6.6,163.77,10800.0,10800.0
9,50.0,3010.15,1.78,6.6,163.77,10800.0,10800.0
